[INFO]2024-11-04 15:58:03,389 data_integrate.py:483: [{'pod': 'adservice-5f6585d649-fnmft', 'alarm': [{'metric_type': 'MemoryUsageRate(%)', 'alarm_flag': True}]}]
[INFO]2024-11-04 16:27:20,373 data_integrate.py:485: [{'pod': 'adservice-5f6585d649-fnmft', 'alarm': [{'metric_type': 'MemoryUsageRate(%)', 'alarm_flag': True}]}]
[INFO]2024-11-04 16:38:25,286 data_integrate.py:472: [{'pod': 'adservice-5f6585d649-fnmft', 'alarm': [{'metric_type': 'MemoryUsageRate(%)', 'alarm_flag': True}]}]
[INFO]2024-11-04 16:38:43,700 data_integrate.py:541: Data Integrate Complete!
[INFO]2024-11-04 16:45:59,713 data_integrate.py:184: head:76 frontend hipstershop.Frontend/Recv. start
[INFO]2024-11-04 16:45:59,713 data_integrate.py:187: tail:1 TraceID: <:TRACEID:> SpanID: <:SPANID:> Request complete
[INFO]2024-11-04 16:45:59,714 data_integrate.py:189: ----
[INFO]2024-11-04 16:45:59,714 data_integrate.py:184: head:1 TraceID: <:TRACEID:> SpanID: <:SPANID:> Request complete
[INFO]2024-11-04 16:45:59,714 data_integrate.py:187: tail:2 TraceID: <:TRACEID:> SpanID: <:SPANID:> Adding to cart complete
[INFO]2024-11-04 16:45:59,714 data_integrate.py:189: ----
[INFO]2024-11-04 16:45:59,714 data_integrate.py:184: head:2 TraceID: <:TRACEID:> SpanID: <:SPANID:> Adding to cart complete
[INFO]2024-11-04 16:45:59,714 data_integrate.py:187: tail:3 TraceID: <:TRACEID:> SpanID: <:SPANID:> Adding to cart started
[INFO]2024-11-04 16:45:59,717 data_integrate.py:189: ----
[INFO]2024-11-04 16:45:59,717 data_integrate.py:184: head:3 TraceID: <:TRACEID:> SpanID: <:SPANID:> Adding to cart started
[INFO]2024-11-04 16:45:59,718 data_integrate.py:187: tail:4 TraceID: <:TRACEID:> SpanID: <:SPANID:> Request started
[INFO]2024-11-04 16:45:59,718 data_integrate.py:189: ----
[INFO]2024-11-04 16:45:59,719 data_integrate.py:184: head:4 TraceID: <:TRACEID:> SpanID: <:SPANID:> Request started
[INFO]2024-11-04 16:45:59,719 data_integrate.py:187: tail:77 frontend hipstershop.Frontend/Recv. end
[INFO]2024-11-04 16:45:59,720 data_integrate.py:189: ----
[INFO]2024-11-04 16:45:59,720 data_integrate.py:184: head:78 frontend hipstershop.ProductCatalogService/GetProduct start
[INFO]2024-11-04 16:45:59,721 data_integrate.py:187: tail:79 frontend hipstershop.ProductCatalogService/GetProduct end
[INFO]2024-11-04 16:45:59,721 data_integrate.py:187: tail:90 productcatalogservice hipstershop.ProductCatalogService/GetProduct start
[INFO]2024-11-04 16:45:59,721 data_integrate.py:189: ----
[INFO]2024-11-04 16:45:59,722 data_integrate.py:184: head:167 frontend hipstershop.CartService/AddItem start
[INFO]2024-11-04 16:45:59,722 data_integrate.py:187: tail:168 frontend hipstershop.CartService/AddItem end
[INFO]2024-11-04 16:45:59,723 data_integrate.py:187: tail:169 cartservice hipstershop.CartService/AddItem start
[INFO]2024-11-04 16:45:59,723 data_integrate.py:189: ----
[INFO]2024-11-04 16:45:59,724 data_integrate.py:184: head:90 productcatalogservice hipstershop.ProductCatalogService/GetProduct start
[INFO]2024-11-04 16:45:59,724 data_integrate.py:187: tail:8 TraceID: <:TRACEID:> SpanID: <:SPANID:> Query product with name and description <:*:>
[INFO]2024-11-04 16:45:59,725 data_integrate.py:189: ----
[INFO]2024-11-04 16:45:59,725 data_integrate.py:184: head:8 TraceID: <:TRACEID:> SpanID: <:SPANID:> Query product with name and description <:*:>
[INFO]2024-11-04 16:45:59,726 data_integrate.py:187: tail:8 TraceID: <:TRACEID:> SpanID: <:SPANID:> Query product with name and description <:*:>
[INFO]2024-11-04 16:45:59,726 data_integrate.py:189: ----
[INFO]2024-11-04 16:45:59,726 data_integrate.py:184: head:8 TraceID: <:TRACEID:> SpanID: <:SPANID:> Query product with name and description <:*:>
[INFO]2024-11-04 16:45:59,727 data_integrate.py:187: tail:91 productcatalogservice hipstershop.ProductCatalogService/GetProduct end
[INFO]2024-11-04 16:45:59,728 data_integrate.py:189: ----
[INFO]2024-11-04 16:45:59,728 data_integrate.py:184: head:94 productcatalogservice sql.conn.query start
[INFO]2024-11-04 16:45:59,728 data_integrate.py:187: tail:95 productcatalogservice sql.conn.query end
[INFO]2024-11-04 16:45:59,729 data_integrate.py:189: ----
[INFO]2024-11-04 16:45:59,729 data_integrate.py:184: head:96 productcatalogservice sql.rows start
[INFO]2024-11-04 16:45:59,730 data_integrate.py:187: tail:97 productcatalogservice sql.rows end
[INFO]2024-11-04 16:45:59,731 data_integrate.py:189: ----
[INFO]2024-11-04 16:45:59,731 data_integrate.py:184: head:169 cartservice hipstershop.CartService/AddItem start
[INFO]2024-11-04 16:45:59,732 data_integrate.py:187: tail:5 TraceID: <:TRACEID:> SpanID: <:SPANID:> AddItemAsync called with userId=<:USERID:>, productId=<:PRODUCTID:>, quantity=<:NUM:>
[INFO]2024-11-04 16:45:59,732 data_integrate.py:189: ----
[INFO]2024-11-04 16:45:59,732 data_integrate.py:184: head:5 TraceID: <:TRACEID:> SpanID: <:SPANID:> AddItemAsync called with userId=<:USERID:>, productId=<:PRODUCTID:>, quantity=<:NUM:>
[INFO]2024-11-04 16:45:59,733 data_integrate.py:187: tail:170 cartservice hipstershop.CartService/AddItem end
[INFO]2024-11-04 16:45:59,733 data_integrate.py:189: ----
[INFO]2024-11-04 16:54:15,395 data_integrate.py:472: [{'pod': 'adservice-5f6585d649-fnmft', 'alarm': [{'metric_type': 'MemoryUsageRate(%)', 'alarm_flag': True}]}]
[INFO]2024-11-04 16:54:34,045 data_integrate.py:541: Data Integrate Complete!
[INFO]2024-11-04 16:56:44,418 data_integrate.py:472: [{'pod': 'adservice-5f6585d649-fnmft', 'alarm': [{'metric_type': 'MemoryUsageRate(%)', 'alarm_flag': True}]}]
[INFO]2024-11-04 17:03:44,945 data_integrate.py:472: [{'pod': 'adservice-5f6585d649-fnmft', 'alarm': [{'metric_type': 'MemoryUsageRate(%)', 'alarm_flag': True}]}]
[INFO]2024-11-04 17:06:16,844 data_integrate.py:472: [{'pod': 'adservice-5f6585d649-fnmft', 'alarm': [{'metric_type': 'MemoryUsageRate(%)', 'alarm_flag': True}]}]
[INFO]2024-11-04 17:07:26,099 data_integrate.py:472: [{'pod': 'adservice-5f6585d649-fnmft', 'alarm': [{'metric_type': 'MemoryUsageRate(%)', 'alarm_flag': True}]}]
[INFO]2024-11-04 17:07:43,763 data_integrate.py:541: Data Integrate Complete!
[INFO]2024-11-04 17:08:18,390 data_integrate.py:184: head:76 frontend hipstershop.Frontend/Recv. start
[INFO]2024-11-04 17:08:18,391 data_integrate.py:187: tail:1 TraceID: <:TRACEID:> SpanID: <:SPANID:> Request complete
[INFO]2024-11-04 17:08:18,392 data_integrate.py:189: ----
[INFO]2024-11-04 17:08:18,392 data_integrate.py:184: head:1 TraceID: <:TRACEID:> SpanID: <:SPANID:> Request complete
[INFO]2024-11-04 17:08:18,392 data_integrate.py:187: tail:15 TraceID: <:TRACEID:> SpanID: <:SPANID:> Serving product page complete
[INFO]2024-11-04 17:08:18,392 data_integrate.py:189: ----
[INFO]2024-11-04 17:08:18,392 data_integrate.py:184: head:15 TraceID: <:TRACEID:> SpanID: <:SPANID:> Serving product page complete
[INFO]2024-11-04 17:08:18,392 data_integrate.py:187: tail:16 TraceID: <:TRACEID:> SpanID: <:SPANID:> Choose Ad complete
[INFO]2024-11-04 17:08:18,392 data_integrate.py:189: ----
[INFO]2024-11-04 17:08:18,392 data_integrate.py:184: head:16 TraceID: <:TRACEID:> SpanID: <:SPANID:> Choose Ad complete
[INFO]2024-11-04 17:08:18,392 data_integrate.py:187: tail:17 TraceID: <:TRACEID:> SpanID: <:SPANID:> Choose Ad started
[INFO]2024-11-04 17:08:18,392 data_integrate.py:189: ----
[INFO]2024-11-04 17:08:18,392 data_integrate.py:184: head:17 TraceID: <:TRACEID:> SpanID: <:SPANID:> Choose Ad started
[INFO]2024-11-04 17:08:18,392 data_integrate.py:187: tail:18 TraceID: <:TRACEID:> SpanID: <:SPANID:> Serving product page started
[INFO]2024-11-04 17:08:18,397 data_integrate.py:189: ----
[INFO]2024-11-04 17:08:18,397 data_integrate.py:184: head:18 TraceID: <:TRACEID:> SpanID: <:SPANID:> Serving product page started
[INFO]2024-11-04 17:08:18,398 data_integrate.py:187: tail:4 TraceID: <:TRACEID:> SpanID: <:SPANID:> Request started
[INFO]2024-11-04 17:08:18,398 data_integrate.py:189: ----
[INFO]2024-11-04 17:08:18,398 data_integrate.py:184: head:4 TraceID: <:TRACEID:> SpanID: <:SPANID:> Request started
[INFO]2024-11-04 17:08:18,398 data_integrate.py:187: tail:77 frontend hipstershop.Frontend/Recv. end
[INFO]2024-11-04 17:08:18,399 data_integrate.py:189: ----
[INFO]2024-11-04 17:08:18,399 data_integrate.py:184: head:78 frontend hipstershop.ProductCatalogService/GetProduct start
[INFO]2024-11-04 17:08:18,400 data_integrate.py:187: tail:79 frontend hipstershop.ProductCatalogService/GetProduct end
[INFO]2024-11-04 17:08:18,400 data_integrate.py:187: tail:90 productcatalogservice hipstershop.ProductCatalogService/GetProduct start
[INFO]2024-11-04 17:08:18,400 data_integrate.py:189: ----
[INFO]2024-11-04 17:08:18,400 data_integrate.py:184: head:80 frontend hipstershop.CurrencyService/GetSupportedCurrencies start
[INFO]2024-11-04 17:08:18,400 data_integrate.py:187: tail:81 frontend hipstershop.CurrencyService/GetSupportedCurrencies end
[INFO]2024-11-04 17:08:18,400 data_integrate.py:187: tail:98 currencyservice grpc.hipstershop.CurrencyService/GetSupportedCurrencies start
[INFO]2024-11-04 17:08:18,402 data_integrate.py:189: ----
[INFO]2024-11-04 17:08:18,403 data_integrate.py:184: head:82 frontend hipstershop.CartService/GetCart start
[INFO]2024-11-04 17:08:18,403 data_integrate.py:187: tail:83 frontend hipstershop.CartService/GetCart end
[INFO]2024-11-04 17:08:18,403 data_integrate.py:187: tail:102 cartservice hipstershop.CartService/GetCart start
[INFO]2024-11-04 17:08:18,403 data_integrate.py:189: ----
[INFO]2024-11-04 17:08:18,403 data_integrate.py:184: head:84 frontend hipstershop.CurrencyService/Convert start
[INFO]2024-11-04 17:08:18,403 data_integrate.py:187: tail:85 frontend hipstershop.CurrencyService/Convert end
[INFO]2024-11-04 17:08:18,403 data_integrate.py:187: tail:104 currencyservice grpc.hipstershop.CurrencyService/Convert start
[INFO]2024-11-04 17:08:18,403 data_integrate.py:189: ----
[INFO]2024-11-04 17:08:18,403 data_integrate.py:184: head:86 frontend hipstershop.RecommendationService/ListRecommendations start
[INFO]2024-11-04 17:08:18,403 data_integrate.py:187: tail:87 frontend hipstershop.RecommendationService/ListRecommendations end
[INFO]2024-11-04 17:08:18,403 data_integrate.py:187: tail:108 recommendationservice /hipstershop.RecommendationService/ListRecommendations start
[INFO]2024-11-04 17:08:18,403 data_integrate.py:189: ----
[INFO]2024-11-04 17:08:18,403 data_integrate.py:184: head:78 frontend hipstershop.ProductCatalogService/GetProduct start
[INFO]2024-11-04 17:08:18,403 data_integrate.py:187: tail:79 frontend hipstershop.ProductCatalogService/GetProduct end
[INFO]2024-11-04 17:08:18,403 data_integrate.py:187: tail:90 productcatalogservice hipstershop.ProductCatalogService/GetProduct start
[INFO]2024-11-04 17:08:18,403 data_integrate.py:189: ----
[INFO]2024-11-04 17:08:18,403 data_integrate.py:184: head:78 frontend hipstershop.ProductCatalogService/GetProduct start
[INFO]2024-11-04 17:08:18,403 data_integrate.py:187: tail:79 frontend hipstershop.ProductCatalogService/GetProduct end
[INFO]2024-11-04 17:08:18,403 data_integrate.py:187: tail:90 productcatalogservice hipstershop.ProductCatalogService/GetProduct start
[INFO]2024-11-04 17:08:18,403 data_integrate.py:189: ----
[INFO]2024-11-04 17:08:18,403 data_integrate.py:184: head:78 frontend hipstershop.ProductCatalogService/GetProduct start
[INFO]2024-11-04 17:08:18,403 data_integrate.py:187: tail:79 frontend hipstershop.ProductCatalogService/GetProduct end
[INFO]2024-11-04 17:08:18,403 data_integrate.py:187: tail:90 productcatalogservice hipstershop.ProductCatalogService/GetProduct start
[INFO]2024-11-04 17:08:18,403 data_integrate.py:189: ----
[INFO]2024-11-04 17:08:18,403 data_integrate.py:184: head:78 frontend hipstershop.ProductCatalogService/GetProduct start
